GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH37E001,AH37E002,AH37E003,AH4HE001,AH4HE002,AH4HE003,AH4HE004,AH4HE005,AH4HE006,AH4HE007,AH4HE008,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,NAME_M,AH37M001,AH37M002,AH37M003,AH4HM001,AH4HM002,AH4HM003,AH4HM004,AH4HM005,AH4HM006,AH4HM007,AH4HM008,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011
G2601630541400,2013-2017,,,Michigan,26,Wayne County,163,,,541400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5414, Wayne County, Michigan",1173,583,590,196,59,0,39,0,0,0,98,590,0,29,9,12,27,13,31,45,337,87,"Census Tract 5414, Wayne County, Michigan",90,115,122,74,62,10,42,10,10,10,62,122,10,47,17,20,40,23,30,57,109,67
G2601630541500,2013-2017,,,Michigan,26,Wayne County,163,,,541500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5415, Wayne County, Michigan",1592,881,711,399,139,0,0,13,0,0,247,711,0,53,48,37,51,52,0,72,337,61,"Census Tract 5415, Wayne County, Michigan",135,117,155,118,77,10,10,20,10,10,90,155,10,62,49,52,38,44,10,61,134,60
G2601630541700,2013-2017,,,Michigan,26,Wayne County,163,,,541700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5417, Wayne County, Michigan",1265,207,1058,230,88,0,0,0,0,0,142,1058,0,28,92,10,143,37,55,160,405,128,"Census Tract 5417, Wayne County, Michigan",108,63,115,96,71,10,10,10,10,10,88,115,10,40,74,16,82,30,54,81,110,85
G2601630541800,2013-2017,,,Michigan,26,Wayne County,163,,,541800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5418, Wayne County, Michigan",1100,629,471,254,84,0,63,22,0,0,85,471,11,18,12,31,40,31,100,17,188,23,"Census Tract 5418, Wayne County, Michigan",120,122,119,95,65,10,56,34,10,10,66,119,16,21,19,28,48,34,78,27,89,24
G2601630542100,2013-2017,,,Michigan,26,Wayne County,163,,,542100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5421, Wayne County, Michigan",1629,981,648,405,0,0,107,54,0,0,244,648,35,0,66,25,0,14,38,35,304,131,"Census Tract 5421, Wayne County, Michigan",148,183,190,148,10,10,79,59,10,10,135,190,57,10,72,28,10,23,58,43,127,98
G2601630542200,2013-2017,,,Michigan,26,Wayne County,163,,,542200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5422, Wayne County, Michigan",1340,808,532,411,204,94,48,0,0,0,65,532,33,0,40,60,56,48,29,19,119,128,"Census Tract 5422, Wayne County, Michigan",112,137,139,107,94,83,56,10,10,10,65,139,37,10,50,57,47,56,31,22,62,99
G2601630542300,2013-2017,,,Michigan,26,Wayne County,163,,,542300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5423, Wayne County, Michigan",793,357,436,334,133,45,0,0,0,0,156,436,18,16,0,41,13,12,19,33,194,90,"Census Tract 5423, Wayne County, Michigan",69,53,80,67,48,34,10,10,10,10,65,80,28,23,10,32,20,19,22,38,71,59
G2601630542400,2013-2017,,,Michigan,26,Wayne County,163,,,542400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5424, Wayne County, Michigan",910,443,467,362,89,40,12,0,0,0,221,467,0,11,22,35,30,23,18,78,181,69,"Census Tract 5424, Wayne County, Michigan",85,73,94,69,47,31,18,10,10,10,73,94,10,17,19,28,24,21,21,51,69,38
G2601630542500,2013-2017,,,Michigan,26,Wayne County,163,,,542500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5425, Wayne County, Michigan",1000,755,245,124,17,0,0,0,33,0,74,245,20,28,0,38,9,11,12,16,66,45,"Census Tract 5425, Wayne County, Michigan",55,85,71,45,27,10,10,10,36,10,39,71,30,30,10,31,13,18,19,26,35,41
G2601630542600,2013-2017,,,Michigan,26,Wayne County,163,,,542600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5426, Wayne County, Michigan",1220,489,731,293,131,0,15,44,0,0,103,731,27,25,55,69,65,0,12,42,360,76,"Census Tract 5426, Wayne County, Michigan",110,98,118,93,70,10,25,42,10,10,60,118,30,30,47,59,57,10,20,46,133,58
G2601630542700,2013-2017,,,Michigan,26,Wayne County,163,,,542700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5427, Wayne County, Michigan",320,190,130,182,0,9,0,0,0,0,173,130,4,10,0,7,0,11,0,23,31,44,"Census Tract 5427, Wayne County, Michigan",48,51,45,39,10,14,10,10,10,10,37,45,7,15,10,12,10,12,10,20,26,33
G2601630542800,2013-2017,,,Michigan,26,Wayne County,163,,,542800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5428, Wayne County, Michigan",938,736,202,210,28,0,12,16,0,0,154,202,0,22,32,0,16,0,11,17,104,0,"Census Tract 5428, Wayne County, Michigan",78,97,62,68,30,10,20,24,10,10,61,62,10,23,30,10,19,10,12,27,50,10
G2601630542900,2013-2017,,,Michigan,26,Wayne County,163,,,542900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5429, Wayne County, Michigan",1383,1131,252,110,0,0,25,0,0,0,85,252,0,30,55,10,37,0,0,0,69,51,"Census Tract 5429, Wayne County, Michigan",91,124,99,79,10,10,41,10,10,10,70,99,10,46,56,15,41,10,10,10,49,51
G2601630543000,2013-2017,,,Michigan,26,Wayne County,163,,,543000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5430, Wayne County, Michigan",723,615,108,49,0,0,13,0,0,0,36,108,8,0,6,6,0,10,0,0,73,5,"Census Tract 5430, Wayne County, Michigan",58,68,65,43,10,10,19,10,10,10,40,65,13,10,9,9,10,14,10,10,58,8
G2601630543100,2013-2017,,,Michigan,26,Wayne County,163,,,543100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5431, Wayne County, Michigan",976,744,232,115,33,0,0,34,0,0,48,232,0,0,19,44,0,0,0,60,70,39,"Census Tract 5431, Wayne County, Michigan",70,76,51,63,36,10,10,37,10,10,42,51,10,10,26,38,10,10,10,46,52,32
G2601630543200,2013-2017,,,Michigan,26,Wayne County,163,,,543200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5432, Wayne County, Michigan",1116,749,367,178,51,17,23,0,0,0,87,367,0,0,0,30,54,36,22,34,107,84,"Census Tract 5432, Wayne County, Michigan",105,122,129,94,52,28,40,10,10,10,76,129,10,10,10,43,55,46,35,56,77,74
